"Manage Sliders","Editer les sliders"
"Add Slider","Ajouter un slider"
"ID","ID"
"Title","Titre"
"Created Time","Temps crée"
"Modified Time","Temps modifié"
"Status","Statut"
"Save Slider","Enregistrer le slider"
"Delete Slider","Effacer le slider"
"Edit Slider '%s'","Editer le slider '%s'"
"Add Slider","Ajouter un slider"
"Slider information","Information sur le slider"
"Configuration","Configuration"
"Slides","Slides"
"General","Général"
"Slider Type","Type de slider"
"Prototype Slider","Slider prototype"
"Nivo Slider (jQuery)","Nivo Slider (jQuery)"
"Enabled","Activé"
"Disabled","Désactivé"
"Prototype Slider Options","Options du slider prototype"
"Identifier","Identifiant"
"Controls type","Type de contrôle"
"Numbers","Nombres"
"Arrows","Flèches"
"Width","Largeur"
"Height","Hauteur"
"Effect","Effet"
"Scroll","Défilement"
"Speedscroll","Défilement de vitesse"
"Fade","Fondu"
"Blend","Fusion"
"Mosaic","Mosaique"
"Duration","Durée"
"Frequency","Frequency"
"Autoglide","Autoglide"
"Nivo Slider Options","Options de Nivo Slider"
"Theme","Thème"
"Default","Par Défaut"
"Light","Clair"
"Dark","Foncé"
"Bar","Bar"
"Slices(For slice animations)","Tranches (Pour les animations slice)"
"Box Cols(For box animations)","Box Cols(For les animations d'encadré)"
"Box Rows(For box animations)","Box Rows(Pour les animations d'encadré)"
"Slide transition speed","Vitesse de transition de slide"
"How long each slide will show","Combien de temps chaque slide va rester affichée"
"Next & Prev navigation","Navigation Suivant&Précédent"
"Yes","Oui"
"No","Non"
"Use thumbnails for Control Nav","Utiliser thumbnails pour la navigation de contrôle"
"Stop animation while hovering","Arrêter l'animation lors d'inactivité"
"Add New Slide","Ajouter une nouvelle slide"
"Delete Slide","Effacer la slide"
"Manage Sliders","Gérer la slide"
"Edit Slider","Editer le slider"
"Slide does not exist","La slide n'existe pas"
"Destination folder is not writable or does not exists.","Le dossier de destination ne peut pas être édité ou n'existe pas"
"Slider was successfully saved","Le slider a été enregistré avec succès"
"Easy Slide","Slide facile"
"Easyslide","Easyslide"
"Load jQuery Library, when using Nivo slider (No Conflict Mode)","Télécharger la librairie jQuery, quand vous utilisez le Nivo Slider (Pas de conflit)"
"General","Général"
"Random","Aléatoire"
"Slice Down","Couper en bas"
"Slice Down Left","Couper en bas à gauche"
"Slice Down Right","Couper en bas à droite"
"Slice Up","Couper en haut"
"Slice Up Left","Couper en haut à gauche"
"Slice Up Right","Couper en haut à droite"
"Slice Up Down","Couper Up Down"
"Slice Up Down Left","Couper en haut et en bas à gauche"
"Slice Up Down Right","Couper en haut et en bas à droite"
"Fold","Plié"
"Fade","Fondu"
"Slide In Right","Slide à droite"
"Slide In Left","Slide à gauche"
"Box Random","Boîte aléatoire"
"Box Rain","Box Rain"
"Box Rain Reverse","Box Rain inversé"
"Box Rain Grow","Box Rain Grow"
"Box Rain Grow Reverse","Box Rain Grow inversé"
"Slide name","Nom de la slide"
"Image URL","Image URL"
"Target URL","Cible URL"
"Sort Order","Ordre de triage"
"Is Enabled","Est activé"
"Description","Description"
"Desc Position","Position Desc"
"Desc Background","Arrière-Plan Desc"
