"Manage Sliders","Gestisci Sliders"
"Add Slider","Aggiungi Slider"
"ID","ID"
"Title","Titolo"
"Created Time","Data Creazione"
"Modified Time","Data Modifica"
"Status","Stato"
"Save Slider","Salva Slider"
"Delete Slider","Elimina Slider"
"Edit Slider '%s'","Modifica Slider '%s'"
"Add Slider","Aggiungi Slider"
"Slider information","Informazioni Slider"
"Configuration","Configurazione"
"Slides","Slides"
"General","Generale"
"Slider Type","Tipo Slider"
"Prototype Slider","Prototipo Slider"
"Nivo Slider (jQuery)","Slider Nivo (jQuery)"
"Enabled","Attivato"
"Disabled","Disattivato"
"Prototype Slider Options","Opzioni Prototipo Slider"
"Identifier","Identificatore"
"Controls type","Tipo Controlli"
"Numbers","Numeri"
"Arrows","Frecce"
"Width","Larghezza"
"Height","Altezza"
"Effect","Effetto"
"Scroll","Scroll"
"Speedscroll","Velocità Scroll"
"Fade","Fade"
"Blend","Miscela"
"Mosaic","Mosaico"
"Duration","Durata"
"Frequency","Frequenza"
"Autoglide","Autoglide"
"Nivo Slider Options","Opzioni Slider Nivo"
"Theme","Tema"
"Default","Default"
"Light","Chiaro"
"Dark","Scuro"
"Bar","Barra"
"Slices(For slice animations)","Slice (Per le animazioni slice)"
"Box Cols(For box animations)","Colonne Box (Per le animazioni box)"
"Box Rows(For box animations)","File Box (Per animazioni box)"
"Slide transition speed","Velocità transizione Slide"
"How long each slide will show","Quanto a lungo verrà visualizzata ogni slide"
"Next & Prev navigation","Navigazione Prossimo & Precedente"
"Yes","Si"
"No","No"
"Use thumbnails for Control Nav","usa thumbnail per Controllare Navigazione"
"Stop animation while hovering","Ferma animazione con hoverind"
"Add New Slide","Aggiungi Nuova Slide"
"Delete Slide","Elimina Slide"
"Manage Sliders","Gestisci Sliders"
"Edit Slider","Modifica Slider"
"Slide does not exist","Slide inesistente"
"Destination folder is not writable or does not exists.","Cartella di destinazione non scrivibile o inesistente."
"Slider was successfully saved","Slider salvata con successo."
"Easy Slide","Easy slide"
"Easyslide","Easyslide"
"Load jQuery Library, when using Nivo slider (No Conflict Mode)","Carica Libreria jQuery, quando si usa lo slider Nivo (Modalità No Conflict)"
"General","Generale"
"Random","Casuale"
"Slice Down","Slice Basso"
"Slice Down Left","Slice Basso - Sinistra"
"Slice Down Right","Slice Basso - Destra"
"Slice Up","Slice Alto"
"Slice Up Left","Slice Alto - Sinistra"
"Slice Up Right","Slice Alto - Destra"
"Slice Up Down","Slice Alto - Basso"
"Slice Up Down Left","Slice Alto - Basso - Sinistra"
"Slice Up Down Right","Slice Alto - Basso - Destra"
"Fold","Fold"
"Fade","fade"
"Slide In Right","Slide In Destra"
"Slide In Left","Slide In Sinistra"
"Box Random","Box Casuale"
"Box Rain","Box Pioggia"
"Box Rain Reverse","Box Pioggia Inverso"
"Box Rain Grow","Box Pioggia Crescente"
"Box Rain Grow Reverse","Box Pioggia Crescente Inverso"
"Slide name","Nome Slide"
"Image URL","URL Immagine"
"Target URL","URL Target"
"Sort Order","Ordina Ordine"
"Is Enabled","È Attivato"
"Description","Descrizione"
"Desc Position","Posizione Descrizione"
"Desc Background","Sfondo Descrizione"
