"Enabled ProLabel","ProLabel Attivato"
"Display","Visualizza"
"Position","Posizione"
"Image","Immagine"
"Label Style (Rewrite position config value)","Stile Etichetta (Riscrivi valore config posizione)"
"Image text","Testo immagine"
"Min Items In Stock","Oggetti min in stock"
"Attribute code","Codice attributo"
"General","Generale"
"Product On Sale Label","Etichetta Prodotto In Saldo"
"Product Items In Stock Label","Etichetta Oggetti Prodotti in stock"
"Product Recommended Label","Etichetta Prodotto Raccomandato"
"Product New Label","Etichetta Nuovo Prodotto"
"Category On Sale Label","Etichetta Categoria in Saldo"
"Category Items In Stock Label","Etichetta Oggetti Categoria in Stock"
"Category Recommended Label","Etichetta Categoria Raccomandata"
"Category New Product Label","Etichetta Categoria Nuovo Prodotto"
"top-left","alto-sinistra"
"top-center","alto-centro"
"top-right","alto-destra"
"middle-left","centro-sinistra"
"middle-center","centro-centrato"
"middle-right","centro-destra"
"bottom-left","basso-sinistra"
"bottom-center","basso-centro"
"bottom-right","basso-destra"
"recommended","raccomandato"
"ProLabel Product","Prodotto ProLabel"
"ProLabel Category","Categria ProLabel"
"Position style","Stile Posizione"
"Font Style","Stile Font"
"years","anni"
"year","anno"
"months","mesi"
"month","mese"
"weeks","settimane"
"week","settimana"
"days","giorni"
"day","giorno"
"hours","ore"
"hour","ora"
"minuts","minuti"
"minut","minuto"
"seconds","secondi"
"second","secondo"
"Math","Matematica"
"Ceil","Coprire"
"Floor","Piano"
"Manage System Labels","Gestisci Etichette Sistema"
"Add On Sale Label","Aggiungi Etichetta In Saldo"
"Add In Stock Label","Aggiungi Etichetta In Stock"
"Add Is New Label","Aggiungi Etichetta Novità"
"Reindex Labels","Etichette Reindex"
"Manage Labels","Gestisci Etichette"
"Add Label","Aggiungi Etichetta"
"ID","ID"
"Name","Nome"
"Store View","Visualizza Negozio"
"Enabled","Attivato"
"Save Label","Salva Etichetta"
"Delete Label","EliminaEtichetta"
"Save And Apply","Salva e Applica"
"Apply","Applica"
"Edit Label '%s'","Modifica Etichetta '%s'"
"Label Information","Informazioni Etichetta"
"Content (Product Page)","Contenuto (Pagina Prodotto)"
"Content (Category Page)","Contenuto (Pagina Categoria)"
"Conditions","Condizioni"
"Indexed Products","Prodotti Indicizzati"
"Display if Stock is lower then","Visualizza se lo Stock è minore di"
"Enable Out of stock label","Attiva etichetta Prodotto Esaurito"
"Out of stock Image","Immagine Prodotto Esaurito"
"Out Of Stock Label Text","Testo Etichetta Prodotto Esaurito"
"System","Sistema"
"Status","Stato"
"Disabled","Disattivato"
"System Label","Etichetta Sistema"
"On Sale","In Saldo"
"In Stock","In Stock"
"Is New","Novità"
"Save And Continue","Salva e Continua"
"%s Label Status","Stato Etichetta %s"
"Templates Master","Templates Master"
"ProLabels","ProLabels"
"Labels Manager","Gestore Etichette"
"This label no longer exists","Questa etichetta non esiste più"
"Edit Label","Modifica Etichetta"
"New Label","Nuova Etichetta"
"Label was successfully saved","Eticehtta salvata con successo"
"Label was successfully deleted","Etichetta eliminata con successo"
"Unable to find a label to delete","Impossibile trovare un'etichetta da eliminare"
"%d customer(s) reindexed","%d clienti reindicizzati"
"%d product(s) reindexed","%d prodotti reindicizzati"
"%d product(s) was successfully reindexed","%d prodotti reindicizzati con successo"
"System Labels Manager","Gestore Etichette Sistema"
"Label not saved! Please select other store.","Etichetta non salvata! Per favore seleziona un altro negozio."
"Unable to apply rules.","Impossibile applicare regole."
"The labels have been applied.","Le etichette sono state applicate."
"Manual Labels","Eticehtte Manuali"
"System Labels","Etichette Sistema"
"Prolabels Section","Sezione Prolabels"
"Templates-master","Templates-master"
"Enabled ProLabels","ProLabels Attivato"
"Items In Stock Label Settings","Impostazioni Etichetta Oggetti in Stock"
"Enable Out Of Stock","Attiva Prodotto Esaurito"
"up to ","fino a"
