"Lightbox Pro","Lightbox Pro"
"General","Algemeen"
"Enable Lightbox Pro","Maak Lightbox Pro mogelijk"
"Outline Type","Type Uitlijnen"
"beveled","beveled"
"drop-shadow","drop-schaduw"
"glossy-dark","glossy-donker"
"outer-glow","outer-glow"
"rounded-black","rounded-black"
"rounded-white","rounded-white"
"Gallery","Galerij"
"Controls","Controls"
"Preset style","Preset style"
"None","Geen"
"Large white buttons","Grote witte knoppen"
"Small white buttons","Kleine witte knoppen"
"Large dark buttons","Grote donkere knoppen"
"White buttons with text","Witte knoppen met tekst"
"Position","Positie"
"above","boven"
"top left","bovenaan links"
"top","bovenaan"
"top center","bovenaan in het midden"
"top rigth","rechts boven"
"leftpanel","linkerpaneel"
"left","links"
"middle left","midden links"
"middle center","midden centrum"
"middle right","midden rechts"
"right","rechts"
"rightpanel","rechterpaneel"
"bottom left","onderaan links"
"bottom center","midden onderaan"
"bottom right","onderaan rechts"
"below","onder"
"Opacity","Dichtheid"
"X offset","X offset"
"Y offset","Y offset"
"Hide controls on mouse out","Verberg controls op muis uit"
"Numbers","Nummers"
"Numbers position","Positie nummers"
"heading","hoofding"
"caption","captie"
"Thumbstrip","Thumbstrip"
"Enable","Maak mogelijk"
"Horizontal","Horizontaal"
"Vertical","Verticaal"
"Float","Drijf"
"Image","Image"
"Viewport","Viewport"
"Behaviour","Gedrag"
"Keep controls fixed","Hou de controls op hun plaats"
"Repeat slideshow","Herhaal diavertoning"
"Interval","Interval"
"Autoplay slideshow","Autoplay diavertoning"
"Inner Html Widget","Inner Html Widget"
"Size","Grootte"
"Width","Breedte"
"Title bar","Titel balk"
"Title Source","Titel bron"
"A given string","Een opgegeven string"
"Anchor'rs title attribute","Anchor'rs title attribute"
"Anchor'rs inner HTML","Anchor'rs inner HTML"
"Style","Style"
"Dimming","Dimmen"
"Apply page dimming mask","Pas pagina dimmen masker toe"
"Animation","Animatie"
"Explanation label","Uitleg label"
"easyInQuad","easyInQuad"
"linearTween","linearTween"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack/easeOutBack"
"Popup size and aligment","Popup grootte en uitlijnen"
"Anchor","Anker"
"Auto","Auto"
"Center","Center"
"Thumbnail top","Thumbnail bovenaan"
"Thumbnail top right","Thumbnail rechts bovenaan"
"Thumbnail right","Thumbnail rechts "
"Thumbnail bottom right","Thumbnail onderaan rechts"
"Thumbnail bottom","Thumbnail onderaan"
"Thumbnail bottom left","Thumbnail onderaan links"
"Thumbnail left","Thumbnail links"
"Thumbnail top left","Thumbnail links bovenaan"
"Align","Uitlijnen"
"Yes-'center' override anchor, No-'auto'","Yes-'center' override anchor;  No-'auto'"
"Height","Hoogte"
"Allow size reduction","Laat verkleinen toe"
"Pad to minimum width","Pad naar minimum breedte"
"Advanced behaviour","Gevorderd gedrag"
"Allow multiple popups at the same timen","Laat meerdere popups tegelijkertijd toe"
"Block right clicks on the popup image","Blokkeer rechts klikken op de popup afbeelding"
"Enable shortcut keys","Maak shortcut keys mogelijk"
"Number of images to preload","Aantal afbeeldingen om op te laden"
"Overlays","Overlappingen"
"Caption","Captie"
"Source","Bron"
"Anchor's title ","Anchor's title "
"Thumbnail's alt","Thumbnail's alt"
"Thumbnail's title","Thumbnail's title"
"Subsequent div","Opeenvolgende div"
"Relative","Relatieve"
"Heading","Hoofding"
"Close button","Sluit knop"
"Tooltip","Tooltip"
"Title","Titel"
"Content","Inhoud"
"LightboxPro Inner Html","LightboxPro Inner Html"
"LightboxPro Image","LightboxPro Afbeelding"
"Image title","Afbeelding titel"
"Thumbnail Width","Thumbnail Breedte"
"Thumbnail Height","Thumbnail Hoogte"
"LightboxPro Gallery","LightboxPro Galerij"
